timestamp,dx_rel,dy_rel,ear_left,ear_right,blink_l,blink_r,dist_cm,brightness,label
2025-12-12T16:42:57.284892,0.0193,-0.0136,0.4673,0.4814,0,0,45.2,116,CENTER
2025-12-12T16:42:57.387787,0.0226,-0.0119,0.4633,0.4787,0,0,44.3,116,CENTER
2025-12-12T16:42:57.453493,0.0203,-0.0113,0.4676,0.4627,0,0,44.4,116,CENTER
2025-12-12T16:42:57.570107,0.0179,-0.0087,0.4625,0.4687,0,0,44.2,116,CENTER
2025-12-12T16:42:57.645665,0.0183,-0.0117,0.4637,0.4734,0,0,44.6,116,CENTER
2025-12-12T16:42:57.732977,0.0151,-0.0119,0.4671,0.4831,0,0,44.5,116,CENTER
2025-12-12T16:42:57.795800,0.0148,-0.0142,0.4714,0.4901,0,0,44.9,116,CENTER
2025-12-12T16:42:57.900977,0.0151,-0.0127,0.4723,0.4847,0,0,44.9,116,CENTER
2025-12-12T16:42:57.992863,0.0144,-0.0124,0.4616,0.4739,0,0,44.6,116,CENTER
2025-12-12T16:42:58.071809,0.0152,-0.0128,0.4617,0.4669,0,0,44.6,116,CENTER
2025-12-12T16:42:58.164232,0.0108,-0.0121,0.4582,0.4652,0,0,44.4,116,CENTER
2025-12-12T16:42:58.246551,0.0123,-0.0199,0.4635,0.4802,0,0,45.3,116,CENTER
2025-12-12T16:42:58.333207,0.0174,-0.0198,0.4708,0.4984,0,0,45.6,116,CENTER
2025-12-12T16:42:58.430276,0.0171,-0.0148,0.4604,0.4702,0,0,44.6,116,CENTER
2025-12-12T16:42:58.508708,0.0120,-0.0137,0.4602,0.4648,0,0,44.4,116,CENTER
2025-12-12T16:42:58.589629,0.0127,-0.0191,0.4629,0.4902,0,0,45.1,116,CENTER
2025-12-12T16:42:58.672544,0.0226,-0.0148,0.4736,0.4897,0,0,45.0,116,CENTER
2025-12-12T16:42:58.773260,0.0185,-0.0163,0.4645,0.4604,0,0,44.5,116,CENTER
2025-12-12T16:42:58.869647,0.0222,-0.0131,0.4591,0.4633,0,0,44.6,116,CENTER
2025-12-12T16:42:58.957448,0.0187,-0.0094,0.4630,0.4718,0,0,44.7,116,CENTER
2025-12-12T16:42:59.036077,0.0185,-0.0079,0.4685,0.4667,0,0,44.6,116,CENTER
2025-12-12T16:42:59.095327,0.0177,-0.0073,0.4631,0.4694,0,0,44.8,116,CENTER
2025-12-12T16:42:59.184319,0.0181,-0.0089,0.4673,0.4687,0,0,44.8,116,CENTER
2025-12-12T16:42:59.280245,0.0210,-0.0138,0.4696,0.4761,0,0,45.3,116,CENTER
2025-12-12T16:43:07.012554,0.0113,-0.0130,0.4714,0.4933,0,0,44.9,116,CENTER
2025-12-12T16:43:07.103042,0.0124,-0.0131,0.4724,0.4799,0,0,44.5,116,CENTER
2025-12-12T16:43:07.179759,0.0112,-0.0165,0.4678,0.4980,0,0,45.0,116,CENTER
2025-12-12T16:43:07.274932,0.0146,-0.0176,0.4699,0.5117,0,0,45.4,116,CENTER
2025-12-12T16:43:07.347088,0.0157,-0.0199,0.4666,0.4986,0,0,45.2,116,CENTER
2025-12-12T16:43:07.443417,0.0163,-0.0188,0.4726,0.5015,0,0,45.4,116,CENTER
2025-12-12T16:43:07.523623,0.0201,-0.0229,0.4720,0.5066,0,0,45.4,116,CENTER
2025-12-12T16:43:07.617848,0.0190,-0.0204,0.4753,0.5146,0,0,45.6,116,CENTER
2025-12-12T16:43:07.708128,0.0144,-0.0210,0.4725,0.5164,0,0,45.4,116,CENTER
2025-12-12T16:43:07.783538,0.0181,-0.0248,0.4806,0.5245,0,0,45.6,116,CENTER
2025-12-12T16:43:07.880659,0.0153,-0.0232,0.4705,0.5006,0,0,45.6,116,CENTER
2025-12-12T16:43:07.968933,0.0198,-0.0228,0.4660,0.5203,0,0,45.6,116,CENTER
2025-12-12T16:43:08.044402,0.0147,-0.0157,0.4652,0.4922,0,0,44.6,116,CENTER
2025-12-12T16:43:08.139805,0.0103,-0.0132,0.4690,0.4940,0,0,44.7,116,CENTER
2025-12-12T16:43:08.233707,0.0148,-0.0167,0.4647,0.5066,0,0,45.2,116,CENTER
2025-12-12T16:43:08.295790,0.0129,-0.0126,0.4696,0.4863,0,0,45.3,116,CENTER
2025-12-12T16:43:08.400087,0.0150,-0.0149,0.4555,0.4971,0,0,45.4,116,CENTER
2025-12-12T16:43:08.483495,0.0227,-0.0058,0.4651,0.4846,0,0,45.0,116,CENTER
2025-12-12T16:43:08.575413,0.0239,-0.0026,0.4601,0.4791,0,0,44.6,116,CENTER
